0,Termid,RegdNo,Course,Grade,CA_100,MTT_50,ETT_100,ETP_100,Course_Att,MHRDName,CA_1,CA_2,CA_3,CA_4,Height,Weight,ScholarType,Direction,Gender,Medium,CourseType,ProgramType
2149,318192,1663776,LAX188,B+,55.0,,,74.0,100.0,Bachelor of Science (Honours) (Chemistry ),10.0,31.0,5.0,9.0,173,89,Day Scholar,West,Female,Regional,Theory,UG
2150,318192,1663776,LAX799,A,89.0,,,67.0,,Bachelor of Science (Honours) (Chemistry ),20.0,15.0,33.0,21.0,173,89,Day Scholar,West,Female,Regional,Theory,UG
2151,318192,1663776,LAX810,A+,69.0,35.0,76.0,,100.0,Bachelor of Science (Honours) (Chemistry ),14.0,42.0,11.0,2.0,173,89,Day Scholar,West,Female,Regional,Theory,UG
7249,318192,2790776,LAX188,B+,68.0,,,64.0,100.0,Bachelor of Science (Honours) (Chemistry ),16.0,20.0,6.0,26.0,176,95,Day Scholar,East,Female,Regional,Theory,UG
7250,318192,2790776,LAX799,B+,75.0,,,72.0,,Bachelor of Science (Honours) (Chemistry ),51.0,6.0,12.0,6.0,176,95,Day Scholar,East,Female,Regional,Theory,UG
7251,318192,2790776,LAX810,O,69.0,47.0,92.0,,100.0,Bachelor of Science (Honours) (Chemistry ),35.0,26.0,8.0,0.0,176,95,Day Scholar,East,Female,Regional,Theory,UG
8450,218192,3075776,LAX1093,B+,73.0,24.0,66.0,,78.0,Bachelor of Science (Honours) (Chemistry ),68.0,2.0,0.0,3.0,151,68,Hostler,South,Female,Hindi,Theory,UG
8451,218192,3075776,LAX1421,A,76.0,25.0,75.0,,88.0,Bachelor of Science (Honours) (Chemistry ),64.0,10.0,1.0,1.0,151,68,Hostler,South,Female,Hindi,Theory,UG
8452,218192,3075776,LAX1422,A+,72.0,22.0,88.0,,93.0,Bachelor of Science (Honours) (Chemistry ),70.0,0.0,1.0,1.0,151,68,Hostler,South,Female,Hindi,Theory,UG
8453,218192,3075776,LAX1423,A+,85.0,,,80.0,92.0,Bachelor of Science (Honours) (Chemistry ),31.0,12.0,21.0,21.0,151,68,Hostler,South,Female,Hindi,Theory,UG
8454,218192,3075776,LAX1424,A+,94.0,,,80.0,100.0,Bachelor of Science (Honours) (Chemistry ),17.0,75.0,0.0,2.0,151,68,Hostler,South,Female,Hindi,Theory,UG
8455,218192,3075776,LAX1425,A+,67.0,39.0,82.0,,97.0,Bachelor of Science (Honours) (Chemistry ),18.0,44.0,2.0,3.0,151,68,Hostler,South,Female,Hindi,Theory,UG
8456,218192,3075776,LAX1426,A,70.0,40.0,76.0,,98.0,Bachelor of Science (Honours) (Chemistry ),38.0,29.0,2.0,1.0,151,68,Hostler,South,Female,Hindi,Theory,UG
